channel,longitude,latitude,elevation
1,18.105363,42.64626,110.70836
2,18.105415,42.646314,110.70836
3,18.105468,42.646367,115.47749
4,18.105419,42.646411,115.47749
5,18.10535,42.646453,110.70836
6,18.105277,42.646492,110.70836
7,18.105204,42.646531,116.911354
8,18.105133,42.646571,112.760925
9,18.105062,42.646612,112.760925
10,18.10499,42.646652,112.760925
11,18.104919,42.646692,112.760925
12,18.104847,42.646732,108.60253
13,18.104773,42.64677,108.60253
14,18.104698,42.646806,113.84815
15,18.104623,42.646842,113.84815
16,18.104548,42.646878,110.9785
17,18.104472,42.646915,110.9785
18,18.104397,42.646951,110.9785
19,18.104321,42.646987,110.9785
20,18.104246,42.647023,106.99631
21,18.104178,42.647009,106.99631
22,18.104115,42.646961,106.99631
23,18.104053,42.646913,106.99631
24,18.103994,42.646863,102.09732
25,18.103934,42.646814,102.09732
26,18.103876,42.646763,97.35872
27,18.103816,42.646714,97.35872
28,18.103756,42.646664,97.35872
29,18.103696,42.646615,93.39113
30,18.103636,42.646565,93.39113
31,18.103576,42.646516,86.928734
32,18.103519,42.646465,86.928734
33,18.103462,42.646414,84.95385
34,18.103404,42.646363,84.95385
35,18.103347,42.646312,84.95385
36,18.10329,42.646261,84.95385
37,18.103233,42.646209,80.1493
38,18.103176,42.646158,79.84962
39,18.10312,42.646106,79.84962
40,18.103065,42.646054,79.84962
41,18.102995,42.646014,79.84962
42,18.102915,42.645984,77.84278
43,18.102835,42.645954,72.07244
44,18.102756,42.645923,72.07244
45,18.102676,42.645892,72.07244
46,18.102597,42.645861,72.2069
47,18.102517,42.645831,72.2069
48,18.102437,42.6458,72.2069
49,18.102358,42.645769,71.82339
50,18.102282,42.645743,71.82339
51,18.102254,42.645806,71.82339
52,18.102226,42.645869,71.82339
53,18.102202,42.645933,71.82339
54,18.102179,42.645997,75.49053
55,18.102154,42.64606,75.49053
56,18.102115,42.64612,75.49053
57,18.102067,42.646176,72.50558
58,18.102017,42.646231,72.50558
59,18.101965,42.646285,72.920074
60,18.101919,42.646342,72.920074
61,18.101881,42.646402,72.920074
62,18.101846,42.646463,72.920074
63,18.10181,42.646524,72.920074
64,18.101774,42.646585,74.799576
65,18.101741,42.646646,74.799576
66,18.101708,42.646708,74.799576
67,18.101672,42.646769,74.799576
68,18.101636,42.646829,79.52005
69,18.101597,42.646889,79.52005
70,18.10154,42.646938,79.52005
71,18.101469,42.646979,77.21538
72,18.101399,42.64702,77.21538
73,18.101328,42.647061,77.21538
74,18.101257,42.647102,77.799576
75,18.101186,42.647142,73.82304
76,18.101115,42.647183,73.82304
77,18.101042,42.647221,73.82304
78,18.100961,42.647246,69.156395
79,18.100871,42.647253,69.156395
80,18.100782,42.647257,69.156395
81,18.100692,42.64726,66.98004
82,18.100602,42.647264,66.98004
83,18.100513,42.647268,66.98004
84,18.100423,42.647272,66.98004
85,18.100333,42.647276,65.43246
86,18.100244,42.64728,65.43246
87,18.100154,42.647283,65.43246
88,18.100064,42.647284,63.104504
89,18.099974,42.647286,63.104504
90,18.099884,42.647287,63.104504
91,18.099795,42.647288,61.789284
92,18.099705,42.647289,61.789284
93,18.099615,42.647291,61.789284
94,18.099525,42.647292,58.567867
95,18.099435,42.647293,58.567867
96,18.099347,42.64729,58.567867
97,18.099263,42.647266,54.855118
98,18.099179,42.647242,54.855118
99,18.099095,42.647218,54.855118
100,18.099012,42.647194,51.951725
101,18.098928,42.64717,51.951725
102,18.098845,42.647145,51.951725
103,18.098763,42.647117,51.951725
104,18.098681,42.64709,46.54545
105,18.0986,42.647062,48.907154
106,18.098518,42.647035,48.907154
107,18.098436,42.647008,45.293148
108,18.098353,42.646983,45.293148
109,18.098269,42.646958,45.293148
110,18.098186,42.646934,45.275814
111,18.098102,42.646909,45.275814
112,18.098019,42.646884,45.275814
113,18.097936,42.646859,45.275814
114,18.097852,42.646835,46.462
115,18.097769,42.64681,46.462
116,18.097686,42.646785,52.50746
117,18.097602,42.646761,51.211113
118,18.097515,42.64675,51.211113
119,18.097425,42.646751,51.211113
120,18.097336,42.646752,51.48227
121,18.097246,42.646754,51.48227
122,18.097156,42.646757,51.48227
123,18.097068,42.646767,52.0921
124,18.096979,42.646778,52.0921
125,18.096891,42.646791,52.0921
126,18.096803,42.646804,51.45127
127,18.096715,42.646818,48.863506
128,18.096626,42.646825,48.863506
129,18.096536,42.646832,48.863506
130,18.096447,42.646838,48.54194
131,18.096357,42.646845,48.54194
132,18.096268,42.64685,48.54194
133,18.096178,42.646852,48.713657
